id,question,answer1,answer2,answer3,answer4,correctAnswer,explanation,signId,image,chapter,isFailingPoint,newExplanation,isHard,isSaved,questionStatus
231,"Để giảm tốc độ khi ô tô đi xuống đường dốc dài, người lái xe phải thực hiện các thao tác nào để đảm bảo an toàn?","Nhả bàn đạp ga, đạp ly hợp (côn) hết hành trình, đạp mạnh phanh chân để giảm tốc độ.","Về số thấp phù hợp, nhả bàn đạp ga, đạp phanh chân với mức độ phù hợp để giảm tốc độ.","Nhả bàn đạp ga, tăng lên số cao, đạp phanh chân với mức độ phù hợp để giảm tốc độ.",,2,"Để giảm tốc độ khi ô tô xuống dốc dài thì về số thấp phù hợp, nhả bàn đạp ga, đạp phanh chân phù hợp.",,,4,1,"Khi đi xuống dốc, nên kết hợp phanh chân và về số thấp (tận dụng độ ghì của động cơ, tránh gây cháy phanh/mất phanh)",,,
232,"Khi điều khiển ô tô qua đoạn đường ngập nước, người lái xe cần thực hiện các thao tác nào để đảm bảo an toàn?","Tăng lên số cao, tăng ga và giảm ga liên tục để thay đổi tốc độ, giữ vững tay lái để ô tô vượt qua đoạn đường ngập nước.","Đạp ly hợp (côn) hết hành trình, tăng ga và giảm ga liên tục để thay đổi tốc độ, giữ vững tay lái để ô tô vượt qua đoạn đường ngập nước.","Quan sát, ước lượng độ ngập nước mà xe ôtô có thể vượt qua an toàn, về số thấp, giữ đều ga và giữ vững tay lái để ô tô vượt qua đoạn đường ngập nước.",,3,"Điều khiển ô tô qua đường ngập nước thì về số thấp, giữ đều ga.",,,4,,"Cả ý 1 và 2 đều sai do không nên tăng ga, tăng tốc độ khi đi qua đoạn đường ngập nước, dễ gây mất lái, hoặc lao xuống ổ gà ổ voi gây tai nạn nguy hiểm.",,,
233,"Khi điều khiển ô tô tới gần xe chạy ngược chiều vào ban đêm, người lái xe cần thực hiện các thao tác nào để đảm bảo an toàn?",Chuyển từ đèn chiếu xa sang đèn chiếu gần; không nhìn thẳng vào đèn của xe chạy ngược chiều mà nhìn chếch sang phía phải theo chiều chuyển động của xe mình.,Chuyển từ đèn chiếu gần sang đèn chiếu xa; không nhìn thẳng vào đèn của xe chạy ngược chiều mà nhìn chếch sang phía phải theo chiều chuyển động của xe mình.,Chuyển từ đèn chiếu xa sang đèn chiếu gần; nhìn thẳng vào đèn của xe chạy ngược chiều để tránh xe đảm bảo an toàn.,,1,"Điều khiển ô tô ban đêm tới gần xe ngược chiều thì chuyển đèn sang chiếu gần, không nhìn vào đèn xe ngược chiều.",,,4,,"Nguyên tắc là khi điều khiển ô tô ban đêm tới gần xe ngược chiều, thì phải dùng đèn chiếu gần (đền cốt).",,,
234,Khi điều khiển xe ô tô trên đường trơn cần chú ý những điểm gì để đảm bảo an toàn?,"Giữ vững tay lái cho xe đi đúng vệt bánh xe đi trước, sử dụng số thấp đi chậm, giữ đều ga, đánh lái ngoặt và phanh gấp khi cần thiết.","Giữ vững tay lái cho xe đi đúng vệt bánh xe đi trước, sử dụng số thấp đi chậm (số L hoặc 1, 2 đối với xe số tự động), gài cầu (nếu có), giữ đều ga, không lấy nhiều lái, không đánh lái ngoặt và phanh gấp.",,,2,Điều khiển ô tô qua đường trơn thì không đánh lái ngoặt và phanh gấp.,,,4,,"Không phanh gấp, không đánh lái gấp.",,,
235,"Khi động cơ ô tô đã khởi động, bảng đồng hồ xuất hiện ký hiệu như hình vẽ dưới đây, báo hiệu tình trạng như thế nào của xe ô tô?",Phanh tay đang hãm hoặc thiếu dầu phanh.,Nhiệt độ nước làm mát quá mức cho phép.,Cửa xe đang mở,,1,BRAKE thì phanh tay đang hãm hoặc thiếu dầu phanh.,,https://cdn.thuvienphapluat.vn/uploads/xlvb/ithong2023/16013.png,4,,Mẹo: BRAKE là ý nghĩa liên quan đến phanh xe.,,,
236,"Khi động cơ ô tô đã khởi động, bảng đồng hồ xuất hiện ký hiệu như hình vẽ dưới đây, báo hiệu tình trạng như thế nào của xe ô tô?",Phanh tay đang hãm,Thiếu dầu phanh,Nhiệt độ nước làm mát tăng quá mức cho phép.,Dầu bôi trơn bị thiếu,4,,,https://cdn.thuvienphapluat.vn/uploads/xlvb/ithong2023/16014.png,4,,"Ký hiệu mang ý nghĩa về dầu bôi trơn, màu vàng cảnh báo đang có vấn đề.",,,
237,"Khi động cơ ô tô đã khởi động, bảng đồng hồ xuất hiện ký hiệu như hình vẽ dưới đây, báo hiệu tình trạng như thế nào của xe ô tô?",Cửa xe đóng chưa chặt; hoặc có cửa xe chưa đóng,Bộ nạp ắc quy gặp sự cố kỹ thuật.,Dầu bôi trơn bị thiếu,Cả ý 2 và 3,1,,,https://cdn.thuvienphapluat.vn/uploads/xlvb/ithong2023/16015.png,4,,"Chú ý ký hiệu có màu đỏ là đang báo động, 2 cánh cửa xe của ký hiệu xe đang mở.",,,
238,"Khi động cơ ô tô đã khởi động, bảng đồng hồ xuất hiện ký hiệu như hình vẽ dưới đây, báo hiệu tình trạng như thế nào của xe ô tô?","Thiếu dầu phanh, phanh tay đang hãm",Hệ thống túi khí an toàn gặp sự cố.,Lái xe và người ngồi ghế,"Cửa đóng chưa chặt, có cửa chưa đóng",3,,,https://cdn.thuvienphapluat.vn/uploads/xlvb/ithong2023/16016.png,4,,"Chú ý ký hiệu có màu đỏ là đang báo động, chưa cài dây an toàn.",,,
239,"Khi động cơ ô tô đã khởi động, bảng đồng hồ xuất hiện ký hiệu như hình vẽ dưới đây, báo hiệu tình trạng như thế nào của xe ô tô?",Báo hiệu thiếu dầu phanh.,Áp suất lốp không đủ.,Đang hãm phanh tay.,Sắp hết nhiên liệu.,4,,,https://cdn.thuvienphapluat.vn/uploads/xlvb/ithong2023/15087.png,4,,"Chú ý màu vàng là đang cảnh báo, ký hiệu trạm xăng là sắp hết nhiên liệu.",,,
240,"Trong các loại nhiên liệu dưới đây, loại nhiên liệu nào giảm thiểu ô nhiễm môi trường?",Xăng và dầu diesel.,Xăng sinh học và khí sinh học.,Cả ý 1 và ý 2.,,2,,,,4,,Xăng sinh học và khí sinh học giúp giảm thiểu ô nhiễm môi trường.,,,
241,Các biện pháp tiết kiệm nhiên liệu khi chạy xe?,Bảo dưỡng xe theo định kỳ và có kế hoạch lộ trình trước khi chạy xe.,Kiểm tra áp suất lốp theo quy định và chạy xe với tốc độ phù hợp với tình trạng mặt đường và mật độ giao thông trên đường.,Cả ý 1 và 2,,3,Để tiết kiệm nhiên liệu thì bảo dưỡng định kỳ và kiểm tra áp suất lốp,,,4,,"Bảo dưỡng xe thường xuyên giúp xe luôn vận hành tốt, áp suất lốp đúng theo quy định giúp xe di chuyển ổn định và tiết kiệm nhiên liệu.",,,
242,"Khi đã đỗ xe ô tô sát lề đường bên phải, người lái xe phải thực hiện các thao tác nào dưới đây khi mở cửa xuống xe để đảm bảo an toàn?","Quan sát tình hình giao thông phía sau, mở hé cánh cửa, nếu đảm bảo an toàn thì mở cửa ở mức cần thiết để xuống xe ô tô.","Mở cánh cửa và quan sát tình hình giao thông phía trước, nếu đảm bảo an toàn thì mở cửa ở mức cần thiết để xuống xe ô tô.",Mở cánh cửa hết hành trình và nhanh chóng ra khỏi xe ô tô.,,1,Mở cửa xe thì quan sát rồi mới mở hé cánh cửa.,,,4,1,"Phải quan sát cẩn thận, mở hé cửa.",,,
243,"Khi lái xe ô tô qua đường sắt không có rào chắn, không có người điều khiển giao thông, người lái xe phải xử lý như thế nào để đảm bảo an toàn?","Tạm dừng xe tại vị trí cách đường sắt tối thiểu 5 mét, hạ kính cửa, tắt các thiết bị âm thanh trên xe, quan sát, nếu không có tàu chạy qua, về số thấp, tăng ga nhẹ để tránh động cơ chết máy cho xe vượt qua.","Tại vị trí cách đường sắt tối thiểu 5 mét quan sát phía trước, nếu tàu còn cách xa, tăng số cao, tăng ga để cho xe nhanh chóng vượt qua đường sắt.",,,1,"Lái xe ô tô qua đường sắt không rào chắn thì cách 5 mét hạ kính cửa, tắt âm thanh, quan sát.",,,4,,"Chú ý phải thận trọng quan sát 2 bên đường ra, vượt qua đường sắt thận trọng tránh tắt máy.",,,
244,"Khi lái xe ô tô qua đường sắt không có rào chắn, không có người điều khiển giao thông, người lái xe thực hiện thao tác: tạm dừng xe tại vị trí cách đường sắt tối thiểu 5 mét, hạ kính cửa, tắt các thiết bị âm thanh trên xe, quan sát và nếu không có tàu chạy qua thì về số thấp, tăng ga nhẹ để tránh động cơ chết máy cho xe vượt qua để đảm bảo an toàn là đúng hay không?",Không đúng.,Đúng.,"Không cần thiết, vì nếu nhìn thấy tàu còn cách xa, người lái xe có thể tăng số cao, tăng ga để cho xe nhanh chóng vượt qua đường sắt.",,2,"Lái xe ô tô qua đường sắt không rào chắn thì cách 5 mét hạ kính cửa, tắt âm thanh, quan sát.",,,4,,"Tuyệt đối tuân thủ các quy định khi lái xe qua đường sắt, vì nguy cơ tiềm ẩn nguy hiểm cao và mức độ thiệt hại nếu có xảy ra tai nạn là rất lớn.",,,
245,"Khi điều khiển ô tô có hộp số tự động đi vào đường trơn trượt, lầy lội, người lái xe phải xử lý như thế nào để đảm bảo an toàn trong các trường hợp dưới đây?","Về số thấp, kết hợp phanh chân để giảm tốc độ.","Giữ nguyên tay số D, kết hợp phanh tay để giảm tốc độ.","Về số N (số 0), kết hợp phanh chân để giảm tốc độ.",,1,Điều khiển xe tự động vào đường trơn trượt thì về số thấp kết hợp phanh chân.,,,4,1,"CHÚ Ý: Xe số tự động vẫn có số thấp, rất nhiều bạn hiểu sai chỗ này. Điều khiển xe tự động vào đường trơn trượt thì về số thấp, kệ hợp phanh chân.",,,
246,"Khi động cơ ô tô đã khởi động, muốn điều chỉnh ghế của người lái, người lái xe phải điều chỉnh cần số ở vị trí nào?",Vị trí N hoặc vị trí P hoặc số 0.,Vị trí D hoặc số 1.,Vị trí R.,,1,Điều chỉnh ghế thì cần số ở P hoặc N.,,,4,,"Về số N, P hoặc 0 để tránh đạp nhầm chân ga, gây tai nạn giao thông.",,,
247,"Khi điều khiển ô tô có hộp số tự động, người lái xe sử dụng chân như thế nào là đúng để đảm bảo an toàn?","Không sử dụng chân trái, chân phải điều khiển bàn đạp phanh và bàn đạp ga.","Chân trái điều khiển bàn đạp phanh, chân phải điều khiển bàn đạp ga.",Không sử dụng chân phải; chân trái điều khiển bàn đạp phanh và bàn đạp ga.,,1,Điều khiển xe số tự động không sử dụng chân trái.,,,4,,"Điều khiển xe số tự động chỉ sử dụng chân phải, chân trái không sử dụng.",,,
248,"Khi tầm nhìn bị hạn chế bởi sương mù hoặc mưa to, người lái xe phải thực hiện các thao tác nào?","Tăng tốc độ, chạy gần xe trước, nhìn đèn hậu để định hướng.","Giảm tốc độ, chạy cách xa xe trước với khoảng cách an toàn, bật đèn sương mù và đèn chiếu gần.","Tăng tốc độ, bật đèn pha vượt qua xe chạy trước.",,2,Tầm nhìn bị hạn chế thì giảm tốc độ.,,,4,1,"Tầm nhìn hạn chế thì cần giảm tốc độ, để có thể phản ứng ngay khi có vấn đề xảy ra.",,,
249,"Khi đèn pha của xe đi ngược chiều gây chói mắt, làm giảm khả năng quan sát trên đường, người lái xe xử lý như thế nào để đảm bảo an toàn?","Giảm tốc độ, nếu cần thiết có thể dừng xe lại.",Bật đèn pha chiếu xa và giữ nguyên tốc độ.,"Tăng tốc độ, bật đèn pha đối diện xe phía trước.",,1,Đèn pha xe ngược gây chói mắt thì giảm tốc độ.,,,4,,"Tương tự tầm nhìn hạn chế, bị chói mắt thì cần giảm tốc độ, để có thể phản ứng ngay khi có vấn đề xảy ra.",,,
250,"Để đạt được hiệu quả phanh cao nhất, người lái xe mô tô phải sử dụng các kỹ năng như thế nào dưới đây?",Sử dụng phanh trước.,Sử dụng phanh sau.,Giảm hết ga; sử dụng đồng thời cả phanh sau và phanh trước.,,3,Khi phanh xe mô tô thì giảm hết ga.,,,4,,"Khi phanh thì giảm hết ga, phanh cả trước và sau.",,,
251,"Khi lái xe ô tô trên mặt đường có nhiều ""ổ gà"", người lái xe phải thực hiện thao tác như thế nào để đảm bảo an toàn?","Giảm tốc độ, về số thấp và giữ đều ga.",Tăng tốc độ cho xe lướt qua nhanh.,"Tăng tốc độ, đánh lái liên tục để tránh ""ổ gà"".",,1,Lái xe trên đường có nhiều ổ gà thì giảm tốc độ.,,,4,,Nguyên tắc là phải giảm tốc độ.,,,
252,"Khi điều khiển ô tô gặp mưa to hoặc sương mù, người lái xe phải làm gì để đảm bảo an toàn?","Bật đèn chiếu gần và đèn vàng, điều khiển gạt nước điều khiển ô tô đi với tốc độ chậm để có thể quan sát được; tìm chỗ an toàn dừng xe, bật đèn dừng khẩn cấp báo hiệu cho các xe khác biết.","Bật đèn chiếu xa và đèn vàng, điều khiển gạt nước, tăng tốc độ, điều khiển ô tô qua khỏi khu vực mưa hoặc sương mù.","Tăng tốc độ, bật đèn pha vượt qua xe chạy phía trước.",,1,Điều khiển ô tô gặp mưa to thì chạy tốc độ chậm.,,,4,,Nguyên tắc là phải giảm tốc độ.,,,
253,"Điều khiển xe ô tô trong trời mưa, người lái xe phải xử lý như thế nào để đảm bảo an toàn?","Giảm tốc độ, tăng cường quan sát, không nên phanh gấp, không nên tăng ga hay đánh vô lăng đột ngột, bật đèn pha gần, mở chế độ gạt nước ở chế độ phù hợp để đảm bảo quan sát.",Phanh gấp khi xe đi vào vũng nước và tăng ga ngay sau khi ra khỏi vũng nước.,"Bật đèn chiếu xa, tăng tốc độ, điều khiển ô tô qua khỏi khu vực mưa.",,1,Điều khiển ô tô trong trời mưa thì giảm tốc độ.,,,4,,Nguyên tắc là phải giảm tốc độ.,,,
254,Khi lùi xem người lái xe phải xử lý như thế nào để bảo đảm an toàn giao thông?,"Quan sát bên trái, bên phải, phía sau xe, có tín hiệu cần thiết và lùi xe với tốc độ phù hợp.",Quan sát phía trước xe và lùi xe với tốc độ nhanh.,Quan sát bên trái và phía trước của xe và lùi với tốc độ nhanh.,,1,Lùi xe thì cần quan sát phía sau xe.,,,4,,Lùi xe phải quan sát phía sau xe. Nếu không thể quan sát phía sau xe thì KHÔNG được lùi xe.,,,
255,Điều khiển xe ô tô trong khu vực đông dân cư cần lưu ý điều gì dưới đây?,"Giảm tốc độ đến mức an toàn, quan sát, nhường đường cho người đi bộ; giữ khoảng cách an toàn với các xe phía trước.","Đi đúng làn đường quy định; chỉ được chuyển làn đường ở nơi cho phép, nhưng phải quan sát.",Cả ý 1 và ý 2.,,3,Điều khiển xe ô tô trong khu vực đông dân cư thì giảm tốc độ và đi đúng làn đường.,,,4,,Nguyên tắc là phải giảm tốc độ và đi đúng làn đường.,,,
256,Khi điều khiển xe ô tô nhập vào đường cao tốc người lái xe cần thực hiện như thế nào dưới đây để bảo đảm an toàn giao thông?,"Quan sát, phát tín hiệu và lái xe nhập vào làn đường tăng tốc, nhường đường cho các xe đang chạy trên đường cao tốc, khi đủ điều kiện an toàn thì tăng tốc độ cho xe nhập vào làn đường cao tốc.","Phát tín hiệu, quan sát các xe đang chạy phía trước, nếu đảm bảo các điều kiện an toàn thì tăng tốc độ cho xe nhập ngay vào làn đường cao tốc.","Phát tín hiệu và lái xe nhập vào làn đường tăng tốc, quan sát các xe phía sau đang chạy trên đường cao tốc, khi đủ điều kiện an toàn thì giảm tốc độ, từ từ cho xe nhập vào làn đường cao tốc.",,1,Khi lái xe nhập vào làn đường cao tốc thì nhường đường cho xe đang trên đường cao tốc.,,,4,,"Khi nhập làn cao tốc, phải quan sát và nhường đường cho xe đang trên cao tốc.",,,
257,Khi điều khiển xe ô tô ra khỏi đường cao tốc người lái xe cần thực hiện như thế nào để bảo đảm an toàn giao thông?,"Quan sát phía trước để tìm biển báo chỉ dẫn ""Lối ra đường cao tốc"", kiểm tra tình trạng giao thông phía sau và bên phải, nếu đảm bảo điều kiện an toàn thì phát tín hiệu và điều khiển xe chuyển dần sang làn đường giảm tốc và ra khỏi đường cao tốc.","Quan sát về phía trước để tìm biển báo chỉ dẫn ""Lối ra đường cao tốc"", trường hợp vượt qua ""Lối ra đường cao tốc"" thì phát tín hiệu, di chuyển sang làn đường giảm tốc và lùi xe quay trở lại.",,,1,"Điều khiển xe ra khỏi làn cao tốc thì không được phép lùi xe, nên đáp án 2 là sai.",,,4,,NGHIÊM CẤM LÙI trên cao tốc.,,,
258,"Người lái xe được dừng xe, đỗ xe trên làn dừng khẩn cấp của đường cao tốc trong trường hợp nào dưới đây?","Xe gặp sự cố, tai nạn, hoặc trường hợp khẩn cấp không thể di chuyển bình thường.","Để nghỉ ngơi, đi vệ sinh, chụp ảnh, làm việc riêng...",Cả ý 1 và ý 2.,,1,Trên cao tốc chỉ được dừng xe ở làn khẩn cấp khi xe gặp sự cố.,,,4,1,Trên cao tốc chỉ được dừng xe ở làn khẩn cấp khi gặp sự cố. Nghỉ ngơi và đi vệ sinh sẽ có những địa điểm dừng chân riêng.,,,
259,"Trong trường hợp bất khả kháng, khi dừng xe, đỗ xe trên làn dừng khẩn cấp của đường cao tốc người lái xe phải xử lý như thế nào dưới đây là đúng quy tắc giao thông?","Bật đèn cảnh báo sự cố, di chuyển phương tiện đến vị trí sát lề đường","Sử dụng các thiết bị cảnh báo như chóp nón, biển báo, đèn chớp… đặt phía sau xe để cảnh báo các phương tiện.","Gọi số điện thoại khẩn cấp của đường cao tốc để được hỗ trợ nếu xe gặp sự cố, tai nạn, hoặc các trường hợp khẩn cấp không thể di chuyển bình thường",Tất cả các ý nêu trên.,4,,,,4,,Nguyên tắc là phải cảnh báo cho các phương tiện khác.,,,
260,"Khi điều khiển ô tô xuống đường dốc dài, độ dốc cao, người lái xe số tự động cần thực hiện các thao tác nào dưới đây để đảm bảo an toàn?","Nhả bàn đạp ga, về số thấp (sử dụng số L hoặc 1, 2), đạp phanh chân với mức độ phù hợp để giảm tốc độ.","Nhả bàn đạp ga, về số không (N) đạp phanh chân và kéo phanh tay để giảm tốc độ.",,,1,"Điều khiển ô tô số tự động xuống dốc dài thì nhả bàn đạp ga, về số thấp.",,,4,1,Nguyên tắc là phải về số thấp kết hợp phanh chân.,,,
261,"Khi đi từ đường nhánh ra đường chính, người lái xe phải xử lý như nào là đúng quy tắc giao thông?","Giảm tốc độ, nhường đường cho xe trên đường chính từ bất kì hướng nào tới.","Nháy đèn, bấm còi để xe đi trên đường chính biết và tăng tốc độ cho xe đi ra đường chính.","Quan sát xe đang đi trên đường chính, nếu là xe có kích thước lớn hơn thì nhường đường, xe có kích thước nhỏ hơn thì tăng tốc độ cho xe đi ra đường chính.",,1,"Đi từ đường nhánh ra đường chính thì giảm tốc độ, nhường đường cho xe trên đường chính.",,,4,1,Phải nhường đường cho xe đi trên đường chính.,,,
262,"Khi đang lái xe mô tô và ô tô, nếu có nhu cầu sử dụng điện thoại để nhắn tin hoặc gọi điện, người lái xe phải thực hiện như thế nào trong các tình huống nêu dưới đây?",Giảm tốc độ để đảm bảo an toàn với xe phía trước và sử dụng điện thoại để liên lạc.,Giảm tốc độ để dừng xe ở nơi cho phép dừng xe sau đó sử dụng điện thoại để liên lạc.,Tăng tốc độ để cách xa xe phía sau và sử dụng điện thoại để liên lạc.,,2,Khi cần nghe điện thoại thì giảm tốc độ và dừng xe ở nơi cho phép dừng xe.,,,4,1,Phải dừng xe mới được sử dụng điện thoại để liên lạc.,,,
263,Những thói quen nào dưới đây khi điều khiển xe mô tô tay ga tham gia giao thông dễ gây tai nạn nguy hiểm?,Sử dụng còi.,Phanh đồng thời cả phanh trước và phanh sau.,Chỉ sử dụng phanh trước.,,3,Xe mô tô tay ga chỉ sử dụng phanh trước thì rất nguy hiểm.,,,4,,Nguyên tắc sử dụng phanh là kết hợp phanh trước phanh sau.,,,
264,Người ngồi trên ô tô cần thực hiện những thao tác mở cửa như thế nào dưới đây để xuống xe một cách an toàn?,"Quan sát gương chiếu hậu hoặc xoay người quan sát phía trước và phía sau để phát hiện các phương tiện đang di chuyển tới gần, khi đủ điều kiện an toàn, dùng tay cách xa cửa hơn mở hé cửa, sau đó mở ở mức cần thiết để xuống xe.","Quan sát tình hình giao thông phía trước, không cần quan sát phía sau và bên mở cửa; mở cánh cửa hết hành trình và nhanh chóng ra khỏi xe ô tô.",,,1,Mở cửa xe thì quan sát rồi mới mở hé cánh cửa.,,,4,,Mở cửa xe thì phải quan sát rôi mở hé cửa.,,,
265,Khi điều khiển xe mô tô quay đầu người lái xe cần thực hiện như thế nào để đảm bảo an toàn?,"Bật tín hiệu báo rẽ trước khi quay đầu, từ từ giảm tốc độ đến mức có thể dừng lại.",Chỉ quay đầu xe tại những nơi được phép quay đầu.,"Quan sát an toàn các phương tiện tới từ phía trước, phía sau, hai bên đồng thời nhường đường cho xe từ bên phải và phía trước đi tới.",Tất cả các ý nêu trên.,4,,,,4,,"Chỉ được quay đầu nơi được phép, có tín hiệu quay đầu, giảm tốc độ, quan sát đảm bảo an toàn rồi mới được quay đầu.",,,
266,Tay ga trên xe mô tô hai bánh có tác dụng gì trong các trường hợp dưới đây?,Để điều khiển xe chạy về phía trước.,Để điều tiết công suất động cơ qua đó điều khiển tốc độ của xe.,Để điều khiển xe chạy lùi.,Cả ý 1 và ý 2.,4,,,,4,,"Tay ga dùng để điều tiết động cơ, điều khiển xe chạy về phía trước. Chú ý, xe mô tô không có chạy lùi.",,,
267,"Gương chiếu hậu của xe mô tô hai bánh, có tác dụng gì trong các trường hợp dưới đây?",Để quan sát an toàn phía bên trái khi chuẩn bị rẽ trái.,Để quan sát an toàn phía bên phải khi chuẩn bị rẽ phải.,Để quan sát an toàn phía sau cả bên trái và bên phải trước khi chuyển hướng.,Để quan sát an toàn phía trước cả bên trái và bên phải trước khi chuyển hướng.,3,,,,4,,Gương chiếu hậu dùng để quan sát phía sau xe về cả 2 hướng.,,,
268,"Để đảm bảo an toàn khi tham gia giao thông, người lái xe lái xe mô tô hai bánh cần điều khiển tay ga như thế nào trong các trường hợp dưới đây?","Tăng ga thật nhanh, giảm ga từ từ.","Tăng ga thật nhanh, giảm ga thật nhanh.","Tăng ga từ từ, giảm ga thật nhanh.","Tăng ga từ từ, giảm ga từ từ.",3,,,,4,,"Để đảm bảo an toàn khi tham gia giao thông, tăng ga từ từ để làm chủ tốc  độ của xe; giảm ga thật nhanh khi gặp chướng ngại vật hoặc tai nạn bất ngờ để giảm tốc độ nhanh nhất có thể, có thêm thời gian xử lý tình huống.",,,
269,Kỹ thuật cơ bản để giữ thăng bằng khi điều khiển xe mô tô đi trên đường gồ ghề như thế nào trong các trường hợp dưới đây?,"Đứng thẳng trên giá gác chân lái sau đó hơi gập đầu gối và khuỷu tay, đi chậm để không nẩy quá mạnh.","Ngồi lùi lại phía sau, tăng ga vượt nhanh qua đoạn đường xóc.",Ngồi lệch sang bên trái hoặc bên phải để lấy thăng bằng qua đoạn đường gồ ghề.,,1,,,,4,,"Ý 1 đúng, giúp giảm sóc và điều xe qua nơi gồ ghê được êm ái hơn.",,,
270,"Chủ phương tiện cơ giới đường bộ có được tự ý thay đổi màu sơn, nhãn hiệu hoặc các đặc tính kỹ thuật của phương tiện so với chứng nhận đăng ký xe hay không?",Được phép thay đổi bằng cách dán đề can với màu sắc phù hợp.,Không được phép thay đổi.,Tùy từng loại phương tiện cơ giới đường bộ.,,2,Không được phép thay đổi so với giấy chứng nhận đăng ký xe.,,,5,,Không được phép thay đổi màu sơn.,,,
271,"Xe ô tô tham gia giao thông đường bộ phải bảo đảm các quy định về chất lượng, an toàn kỹ thuật và bảo vệ môi trường nào ghi dưới đây?","Kính chắn gió, kính cửa phải là loại kính an toàn, bảo đảm tầm nhìn cho người điều khiển; có đủ hệ thống hãm và hệ thống chuyển hướng có hiệu lực, tay lái của xe ô tô ở bên trái của xe, có còi với âm lượng đúng quy chuẩn kỹ thuật.","Có đủ đèn chiếu sáng gần và xa, đèn soi biển số, đèn báo hãm, đèn tín hiệu; có đủ bộ phận giảm thanh, giảm khói, các kết cấu phải đủ độ bền và bảo đảm tính năng vận hành ổn định.",Cả ý 1 và ý 2.,,3,,,,5,,"Quy định trong điều 55, luật giao thông đường bộ.",,,
272,Xe mô tô và xe ô tô tham gia giao thông trên đường bộ phải bắt buộc có đủ bộ phận giảm thanh không?,Không bắt buộc.,Bắt buộc.,Tùy từng trường hợp.,,2,,,,5,,"Bộ phận giảm thanh (bô xe) bắt buộc phải có. Theo quy định, tuyệt đối không độ pô, móc bồ.",,,
273,Xe ô tô tham gia giao thông trên đường bộ phải có đủ các loại đèn gì?,Đèn chiếu sáng gần và xa.,Đèn soi biển số; đèn báo hãm và đèn tín hiệu.,Dàn đèn pha trên nóc xe.,Cả ý 1 và ý 2.,4,,,,5,,"Gồm các loại: đèn pha, đèn cốt, đèn soi biển số, đèn báo hãm (đèn hậu), và đèn tín hiệu (xi nhan trái phải).",,,
274,Kính chắn gió của xe ô tô phải đảm bảo yêu cầu nào dưới đây?,"Là loại kính an toàn, kính nhiều lớp, đúng quy cách, không rạn nứt, đảm bảo hình ảnh quan sát rõ ràng, không bị méo mó.","Là loại kính trong suốt, đúng quy cách, không rạn nứt, đảm bảo tầm nhìn cho người điều khiển về phía trước mặt và hai bên.",,,1,"Yêu cầu của kính chắn gió, chọn ""Loại kính an toàn"".",,,5,,Yếu tố tiên quyết là kính an toàn.,,,
275,Bánh xe lắp cho xe ô tô phải đảm bảo an toàn kỹ thuật như thế nào dưới đây?,"Đủ số lượng, đủ áp suất, đúng cỡ lốp của nhà sản xuất hoặc tài liệu kỹ thuật quy định; lốp bánh dẫn hướng hai bên cùng kiểu hoa lốp, chiều cao hoa lốp đồng đều; không sử dụng lốp đắp; lốp không mòn đến dấu chỉ báo độ mòn của nhà sản xuất, không nứt, vỡ, phồng rộp làm hở lớp sợi mành.","Vành, đĩa vành đúng kiểu loại, không rạn, nứt, cong vênh; bánh xe quay trơn, không bị bó kẹt hoặc cọ sát vào phần khác; moay ơ không bị rơ; lắp đặt chắc chắn, đủ các chi tiết kẹp chặt và phòng lỏng.",Cả ý 1 và ý 2.,,3,,,,5,,Bánh xe phải đủ số lượng và chất lượng như thông số của nhà sản xuất.,,,
276,"Âm lượng của còi điện lắp trên ô tô (đo ở độ cao 1,2 mét với khoảng cách 2 mét tính từ đầu xe) là bao nhiêu?","Không nhỏ hơn 90 dB (A), không lớn hơn 115 dB (A).","Không nhỏ hơn 80 dB (A), không lớn hơn 105 dB (A).","Không nhỏ hơn 70 dB (A), không lớn hơn 90 dB (A).",,1,Âm lượng của còi là từ 90dB đến 115 dB.,,,5,,Âm lượng của còi là từ 90 dB đến 115 dB.,,,
277,Mục đích của bảo dưỡng thường xuyên đối với xe ô tô có tác dụng gì?,"Bảo dưỡng ô tô thường xuyên làm cho ô tô luôn luôn có tính năng kỹ thuật tốt, giảm cường độ hao mòn của các chi tiết, kéo dài tuổi thọ của xe.","Ngăn ngừa và phát hiện kịp thời các hư hỏng và sai lệch kỹ thuật để khắc phục, giữ gìn được hình thức bên ngoài.",Cả ý 1 và ý 2.,,3,,,,5,,"Bảo dưỡng xe thường xuyên giúp xe được vận hành tốt, tiết kiệm nhiên liệu, xe lâu cũ, kéo dài tuổi thọ của xe.",,,
278,"Trong các nguyên nhân nêu dưới đây, nguyên nhân nào làm động cơ diesel không nổ?","Hết nhiên liệu, lõi lọc nhiên liệu bị tắc, lọc khí bị tắc, nhiên liệu lẫn không khí, tạp chất.","Hết nhiên liệu, lõi lọc nhiên liệu bị tắc, lọc khí bị tắc, nhiên liệu lẫn không khí, không có tia lửa điện.","Hết nhiên liệu, lõi lọc nhiên liệu bị tắc, lọc khí bị tắc, nhiên liệu lẫn không khí và nước, không có tia lửa điện.",,1,Động cơ diesel không nổ do nhiên liệu lẫn tạp chất.,,,5,,Động cơ diesel không nổ do nhiên liệu lẫn tạp chất.,,,
